log10(M_*[Msun]),sSFR[1/yr](20Myr),sSFR[1/yr](1Gyr),log10(M_HI[Msun]),sigma_*(<0.8kpc)[km/s],log10(M_BH[Msun])
8.8828,0,0,-Inf,32.17,-Inf
8.273,0,0,-Inf,23.778,-Inf
8.1279,NaN,NaN,8.6025,16.305,-Inf
8.0426,NaN,NaN,8.8573,19.77,-Inf
8.6265,0,0,-Inf,44.588,-Inf
8.3903,0,1.589e-11,8.3955,29.357,-Inf
8.0559,NaN,NaN,-Inf,14.17,-Inf
8.47,0,0,-Inf,36.952,-Inf
8.1505,NaN,NaN,2.4168,13.125,-Inf
8.1348,NaN,NaN,-Inf,32.621,-Inf
8.3122,0,1.5214e-11,8.5455,28.653,-Inf
8.2007,0,0,-Inf,27.963,-Inf
8.2497,0,0,-Inf,28.113,-Inf
8.2343,0,0,-Inf,30.219,-Inf
8.209,0,0,-Inf,31.41,-Inf
8.5285,0,0,-Inf,38.95,-Inf
8.3175,0,0,-Inf,30.508,-Inf
8.1061,NaN,NaN,-Inf,24.195,-Inf
8.2211,0,0,-Inf,36.917,-Inf
8.0895,NaN,NaN,-Inf,26.812,-Inf
8.134,NaN,NaN,-Inf,24.012,-Inf
8.6298,0,0,-Inf,16.166,-Inf
8.1541,0,0,-Inf,25.38,-Inf
8.066,NaN,NaN,-Inf,34.733,-Inf
8.3123,0,0,-Inf,23.132,-Inf
8.0375,NaN,NaN,-Inf,0,-Inf
8.02,NaN,NaN,-Inf,NaN,-Inf
12.348,1.6875e-14,3.8526e-14,10.037,335.22,10.012
11.743,0,6.0879e-15,8.7371,231.44,9.3632
10.494,1.5424e-10,1.3813e-10,10.298,72.058,6.8205
10.003,8.6214e-11,1.107e-10,9.8582,67.475,6.5116
10.051,7.4221e-11,7.9775e-11,9.7095,60.688,6.2551
9.6562,6.9315e-11,1.3017e-10,9.7282,54.056,6.3074
9.9015,8.6972e-12,1.8116e-11,9.1823,48.811,6.4521
9.6787,1.4794e-10,8.5709e-11,9.5693,49.604,6.4868
9.4274,0,1.0881e-11,8.8949,42.615,6.2206
8.3803,0,1.9465e-11,8.7361,12.435,-Inf
8.9169,0,0,-Inf,28.713,-Inf
12.152,3.6881e-14,8.2531e-14,9.9588,328.48,9.9117
11.136,1.7738e-12,4.5166e-12,9.427,98.778,8.0691
11.18,3.333e-12,4.7629e-12,8.2394,102.16,8.0761
10.855,2.7818e-12,2.297e-12,8.0568,99.898,8.1124
10.805,1.2233e-11,1.1294e-11,9.2828,79.218,7.3239
10.006,8.0803e-11,9.3016e-11,9.5662,56.219,6.8321
9.3841,3.3524e-11,7.0162e-11,9.3777,33.667,-Inf
9.2879,3.8754e-11,1.5331e-11,8.979,40.785,6.2419
9.0156,8.5432e-11,5.7433e-11,9.2387,33.546,6.2224
9.0727,5.6134e-11,3.4537e-11,8.9625,30.087,-Inf
9.4596,0,6.0574e-12,9.0446,48.868,-Inf
8.5412,0,7.1525e-11,9.2803,21.407,-Inf
9.0512,0,0,-Inf,31.292,-Inf
8.1025,NaN,NaN,9.0317,23.039,-Inf
8.8761,0,0,-Inf,25.323,-Inf
9.2967,0,0,-Inf,39.87,-Inf
8.3451,0,8.3613e-11,9.0453,20.856,-Inf
8.0119,NaN,NaN,8.7179,20.877,-Inf
8.6726,0,0,-Inf,37.786,-Inf
8.6772,0,0,-Inf,22.513,-Inf
8.5485,0,0,-Inf,26.319,-Inf
8.1793,0,0,8.1394,18.446,-Inf
8.2352,0,0,-Inf,17.596,-Inf
8.5027,0,0,-Inf,25.794,-Inf
8.2273,0,0,-Inf,18.779,-Inf
8.2009,0,0,-Inf,13.437,-Inf
12.291,3.7372e-13,5.6366e-13,10.42,275.47,10.059
11.43,7.747e-11,6.6893e-11,10.18,132.55,-Inf
10.578,8.2383e-11,7.5177e-11,10.177,68.556,7.1492
10.533,1.9488e-11,2.6373e-11,9.4004,80.408,7.979
10.947,1.0413e-11,3.4714e-11,9.2066,88.277,7.7497
10.656,1.1042e-10,1.2294e-10,10.287,81.24,6.9023
10.606,2.5947e-11,5.179e-11,9.713,80.588,7.4599
10.283,2.4515e-11,3.7783e-11,9.6498,84.502,6.9645
9.5491,1.0321e-10,8.451e-11,9.7168,49.598,6.2854
